Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-22 07:00:00,1171421.379477006,1148831.8737240054,1120349.1784326045,1101281.2083577404,1119349.3021752427,1155943.2096865815,1169783.697736373,1135541.84397048
2019-07-22 08:00:00,1267231.7837037032,1248229.596446374,1220753.8646238444,1200939.373514123,1207953.0317376568,1237938.0787394885,1265159.0407986892,1227496.1610108286
2019-07-22 09:00:00,1353605.7610851834,1343502.5720377257,1317860.339319031,1298768.584636354,1294822.3004190552,1313163.2531131497,1351193.1264694997,1311572.3642017543
2019-07-22 10:00:00,1412643.8629457399,1406808.445035513,1383107.2977983758,1366051.714790425,1355381.5380144767,1363557.8129964918,1409102.6029690744,1368818.1328435573
2019-07-22 11:00:00,1438265.6042727644,1429298.0564022798,1407508.1234754957,1393446.1906081224,1381167.578763828,1386340.8198633438,1436990.1139215773,1397950.254736123
2019-07-22 12:00:00,1433328.6693282833,1424885.6503224717,1405343.7740198912,1394945.0315712013,1383458.3698212642,1383660.9649609146,1432142.2773495754,1395762.3884896827
2019-07-22 13:00:00,1418685.2417092356,1416585.0598473253,1399726.0490457113,1393427.706578694,1381682.9429465956,1374913.7416831313,1418221.3114255965,1385377.6011632779
2019-07-22 14:00:00,1412774.838718839,1417574.0851942054,1403046.5078708793,1400852.906444507,1387011.6764504667,1375804.3915016258,1417717.2805253805,1387936.1256747376
2019-07-22 15:00:00,1419286.3062836842,1423095.4538522542,1409187.6435673055,1410330.0415758097,1395150.772265631,1383737.2768093757,1424841.5534878373,1398046.7541475839
2019-07-22 16:00:00,1412772.7753614238,1418732.130476837,1402890.5301087291,1405764.2966064145,1393338.2948629959,1380763.269687294,1415997.78391052,1391357.4898294716
2019-07-22 17:00:00,1383584.540441596,1395761.5207373148,1375995.7216135222,1378673.2417684167,1373649.6363854015,1360289.245421257,1388334.6122349377,1362621.7728062875
2019-07-22 18:00:00,1354540.958925971,1359034.9546781173,1335105.6033533316,1336234.2119035611,1340005.9509624287,1331554.3828250985,1350569.9993980892,1327265.4367045218
2019-07-22 19:00:00,1316362.323853745,1321332.169073252,1294705.6869539327,1294185.028874996,1303505.5971274332,1298344.6077926168,1313578.5480123477,1290080.8564163616
2019-07-22 20:00:00,1285040.463622806,1291378.0299458622,1263972.0883733118,1262884.8524191629,1272148.0413993525,1270971.8143124974,1286385.9872784817,1264966.2678151983
2019-07-22 21:00:00,1270513.2340568423,1267747.5356616636,1240527.6747939016,1240348.434776976,1245477.1522302974,1250045.256395297,1269136.0908388658,1251608.476910658
2019-07-22 22:00:00,1248152.227692705,1243600.1570636737,1216157.200190957,1217817.0903199436,1218470.3502349574,1224617.5484324696,1246707.8511679247,1231741.5077473007
2019-07-22 23:00:00,1221445.2697834114,1215803.7762787407,1187100.6888994628,1190556.3182767942,1189191.5570162137,1196018.174742487,1219614.949491267,1204989.5425502637
2019-07-23 00:00:00,1162832.3061099052,1174429.231447132,1152644.671716738,1157551.2554109371,1159531.5090706658,1158011.28218904,1167361.1537259505,1160258.1990672862
2019-07-23 01:00:00,1145719.124019386,1152390.4886069007,1129380.2037337916,1134391.5408766868,1138338.734138321,1138356.0625294081,1147688.8189247132,1139265.9057624924
2019-07-23 02:00:00,1127625.8491704436,1136624.0753062856,1113121.311552659,1117529.579043275,1123797.3224339602,1123371.3147241399,1130980.5133055574,1121381.190516299
2019-07-23 03:00:00,1122162.9505138996,1123689.041165506,1099432.4389279769,1102704.177430829,1111903.9276964862,1117308.2711616603,1124911.741135796,1114956.8237623342
2019-07-23 04:00:00,1113167.0308599062,1113602.5876062675,1087397.207720003,1089073.727002039,1101928.374426833,1110247.3940967924,1115440.306043594,1104453.8147123614
