Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-11-24 21:00:00,1082403.7894530187,1098087.1632381734,1078398.7970554319,1096012.6156012726,1100397.0221441167,1097966.6407332215,1097423.1773019927,1077098.2925530742,1127160.8056942136,1127374.267418536,1128689.995133659,1127293.134179715,1095531.6347081643,1089571.7899004174,1092981.1580314457,1075863.537448704
2019-11-24 22:00:00,1072818.874815597,1083650.1600589717,1067199.4280487206,1081663.9491366106,1085881.3339517247,1083229.4074259605,1083136.4543370262,1065130.1817495404,1098876.7612629412,1098816.7513014742,1100267.3527970668,1098829.728168172,1080475.2811652804,1075467.7512541288,1078745.8159341132,1062209.3367180817
2019-11-24 23:00:00,1046087.8275696045,1064901.9034056957,1042444.3919914222,1061681.4151793122,1065811.3376135214,1062964.069998459,1063239.3377366355,1040917.0921122717,1070329.6929175274,1070051.457033537,1071867.255595687,1071030.9710256793,1056511.6881128624,1057875.037902336,1064378.2139316066,1040563.819097076
2019-11-25 00:00:00,1017431.4313666691,1031039.2685294908,1022149.6693763098,1019495.3467042163,1020944.5128313595,1018717.1502434094,1020590.9830389383,1019480.4650997848,932261.1725069991,932004.378400508,933872.6922941149,933202.948448714,1024340.0319163923,1018244.687697617,1019624.3065335257,1015950.6403919527
2019-11-25 01:00:00,990266.4125230556,1010025.1243049521,993546.3306635679,999717.6495636713,1000697.767971969,998609.7860871622,1000799.613861412,993581.877293537,911731.1219163804,911537.2557940608,912894.5468854946,912242.3051740468,1004141.9227583166,996243.189532923,999434.154189954,991611.6640210041
2019-11-25 02:00:00,976391.9157261432,992564.4926181107,979154.858502165,980564.0121188995,981307.426590726,979358.5556139497,981416.2036406911,979545.3520664437,895793.010344284,895540.3439973267,896448.9415017791,895516.5910766149,986107.3383963766,981111.3507425503,986384.4522629059,976870.427105128
2019-11-25 03:00:00,963671.2560091551,982762.9334466346,965893.2180007198,975552.8116966463,976083.3257314119,974233.1220555166,976275.5413498557,967500.318226328,884678.2060668429,884468.1836325716,885106.1686525339,884354.0648273845,977854.7409151657,973565.7104393281,976128.059984317,965151.8006792517
2019-11-25 04:00:00,962760.6301982611,979291.6790791997,965631.7110501236,974435.3271543032,974631.7650733388,972899.9337542057,974876.9775882649,966522.5611324789,880248.0350543519,880110.8552165125,880452.1773256675,879918.5714285435,974556.2531956936,971052.4451896041,974259.5446028921,960730.5310912159
2019-11-25 05:00:00,969013.4838351326,992664.4036791099,971384.5775809888,991312.3483457884,991201.8563044141,989671.6194454047,991617.2044311649,967739.6302927785,886113.1206130035,886077.2450383918,886423.8673453237,886302.7608577196,984110.8651186246,981316.8722925319,984034.337713289,960532.6384736747
2019-11-25 06:00:00,1007167.3438598062,1023390.0230299438,1000134.2572243233,1028359.4393796531,1028113.5051766953,1026796.4676802169,1028598.5291691779,998781.8314760663,903581.2892203083,903817.1197892023,903935.7311597381,903536.4769574945,1023899.1662219081,1014645.7766230871,1019840.009218389,987263.7853500525
2019-11-25 07:00:00,1088768.3560756198,1099243.9831681729,1062455.876158118,1096371.9402286082,1096484.5199680636,1095135.8969235779,1096368.7192457663,1063239.3430180494,948047.6299761626,948046.3257762662,948045.6595211982,948047.8726617695,1099899.4806030537,1090533.9742122113,1096275.1134331294,1059450.4282764941
2019-11-25 08:00:00,1217455.2902174452,1215738.2373123958,1172723.2418424203,1203399.3545115062,1203850.0085180076,1202485.030707115,1203103.2158823574,1180648.1992461495,1028273.6820819475,1028400.9242173863,1028874.9476231056,1030344.776112774,1212039.9092944325,1204192.219924226,1209069.4510181195,1188160.7164081032
2019-11-25 09:00:00,1317089.5664673976,1305667.7965001718,1259518.8744875656,1297499.9810848099,1298585.2701310383,1297064.4705424954,1296971.415015557,1273660.5707097745,1098322.3294688896,1098752.8242204264,1099772.736349804,1102034.8416613496,1305900.0625286517,1298759.2983835752,1303206.5228933415,1289787.1981989264
2019-11-25 10:00:00,1370919.4116188255,1380945.006527388,1309493.3206869457,1352067.0490269344,1354070.67183118,1352186.2142626494,1351699.9851540646,1323913.4637631292,1142021.018882428,1142551.3087453276,1143639.5482650339,1145325.19213594,1377605.1359710167,1364810.7099177318,1371566.744847518,1348392.0327734556
2019-11-25 11:00:00,1390200.4258567991,1409881.0010994873,1327605.4100888355,1378131.0922120882,1381207.5717450776,1378875.8607542499,1378082.2179942627,1341227.3007586664,1155908.367842133,1156498.5146954975,1157984.3055273674,1159246.584876184,1403932.7474518798,1391327.2057233087,1398352.3193393345,1368781.3026831264
2019-11-25 12:00:00,1391150.4709689876,1421705.298285645,1329957.584127201,1383066.2634948872,1386831.5853060724,1384045.0971873323,1383192.1890167324,1339309.6643578617,1155030.518984767,1155578.5380989935,1157422.4223595753,1158244.1168473228,1414792.7012976792,1398553.8705508653,1409282.5766267516,1363984.584214135
2019-11-25 13:00:00,1380516.2745718919,1426547.362276782,1325363.4912154174,1379733.3690080412,1383653.8863192876,1380595.8730999345,1379718.0055184497,1331777.626630625,1146646.773249486,1147261.143150099,1149506.0605604653,1149834.6102665584,1419067.7325944928,1397931.842061478,1411405.7719141862,1355079.1290862241
2019-11-25 14:00:00,1392851.1197173835,1427975.5966279623,1334921.3630498208,1391178.1229989675,1394858.271869879,1391816.2798695792,1391169.8829071433,1339288.3163737452,1153152.2447579259,1153916.1931784158,1156444.680714685,1156054.9634346832,1421285.1805373216,1401164.7981400664,1414503.917656872,1361974.871924889
2019-11-25 15:00:00,1393057.099128501,1429436.3302165375,1333478.540070921,1387349.7847248758,1390952.3261757845,1387859.1727480835,1387345.3309289045,1337128.309430014,1151020.2641527227,1151876.371291565,1154550.160432248,1153779.1248970293,1421808.9532908902,1402495.2467392671,1418601.3988288082,1360674.0088863824
2019-11-25 16:00:00,1391785.4252591792,1417629.55798279,1328837.586473115,1372358.5060350106,1375803.4723754395,1372694.2152442834,1372142.7478950678,1330755.3910715021,1142067.9471718934,1142778.4685767023,1145290.4868997694,1144208.7355823747,1411767.4538835452,1391794.6745956307,1406448.2400487259,1349730.0348434886
2019-11-25 17:00:00,1364308.2169236788,1393767.3158105272,1305621.113158827,1346870.0283703462,1349848.9510345855,1346807.6823970736,1346216.735414466,1304123.2922455878,1121746.065230194,1122499.1383271539,1124414.597167601,1123195.687804763,1389242.941449973,1368993.5462669246,1381690.670464261,1318170.795530489
2019-11-25 18:00:00,1333018.4830667751,1347492.3365758224,1281591.9952376755,1316479.9705425857,1318532.962405816,1315767.0298285026,1315568.280515019,1269871.948033434,1096591.4109284107,1097898.944547676,1100062.208495025,1097893.0495511708,1338022.1538973807,1329193.4897399945,1331954.382166494,1275682.5243217018
2019-11-25 19:00:00,1262718.5782318122,1288636.7977831566,1231313.9511655453,1256710.7534808519,1257873.5513269445,1255305.588866069,1255346.2400950973,1221560.2540663122,1063063.5195280465,1063623.6612307325,1065503.1479361667,1064199.1413965132,1279318.9811938102,1273267.763736796,1273501.785757738,1223586.1954266673
2019-11-25 20:00:00,1208187.1106041477,1241777.4669938348,1186615.5663061426,1204004.131824593,1204214.0531918574,1202034.651963858,1202283.7826271292,1176499.4622589485,1029516.3067139639,1029869.6548338016,1031258.1349942451,1030214.2206312869,1228533.486572884,1221007.20343335,1220867.4780493367,1177637.5852088446
