Time,Prophet_optimized
2018-01-17 20:00:00,1109659.4070675427
2018-01-17 21:00:00,1088175.9614618856
2018-01-17 22:00:00,1045424.0754623467
2018-01-17 23:00:00,1009184.8686074809
2018-01-18 00:00:00,1001321.6700118444
2018-01-18 01:00:00,983281.4279117781
2018-01-18 02:00:00,950923.9493060276
2018-01-18 03:00:00,923443.2951822698
2018-01-18 04:00:00,926995.0218926062
2018-01-18 05:00:00,933819.6056487376
2018-01-18 06:00:00,957976.1258284992
2018-01-18 07:00:00,1018614.7673960209
2018-01-18 08:00:00,1105622.1517264515
2018-01-18 09:00:00,1180545.7661745197
2018-01-18 10:00:00,1233813.2103665264
2018-01-18 11:00:00,1256612.9196847384
2018-01-18 12:00:00,1247179.3864038908
2018-01-18 13:00:00,1246726.4936471425
2018-01-18 14:00:00,1252810.415230361
2018-01-18 15:00:00,1246703.1947468892
2018-01-18 16:00:00,1245779.0070429528
2018-01-18 17:00:00,1238616.2404560985
2018-01-18 18:00:00,1215641.583116808
2018-01-18 19:00:00,1173452.8766858506
2018-01-18 20:00:00,1122801.1485259847
2018-01-18 21:00:00,1082363.4350009062
2018-01-18 22:00:00,1045567.9793790657
2018-01-18 23:00:00,1013174.843502229
2018-01-19 00:00:00,988919.3738345738
2018-01-19 01:00:00,968351.8412180691
2018-01-19 02:00:00,953818.9188869724
2018-01-19 03:00:00,931864.9278282622
2018-01-19 04:00:00,929524.457541738
2018-01-19 05:00:00,936590.7102116763
2018-01-19 06:00:00,958990.6578923817
2018-01-19 07:00:00,994056.9861703154
2018-01-19 08:00:00,1075274.0082027356
2018-01-19 09:00:00,1149992.7106426915
2018-01-19 10:00:00,1189363.2481706608
2018-01-19 11:00:00,1186350.8084594512
2018-01-19 12:00:00,1168308.3201222145
2018-01-19 13:00:00,1165878.1934963907
2018-01-19 14:00:00,1184331.2712952616
2018-01-19 15:00:00,1188889.175680276
2018-01-19 16:00:00,1185076.943703228
2018-01-19 17:00:00,1164873.944936843
2018-01-19 18:00:00,1135650.1543512428
2018-01-19 19:00:00,1107024.166281227
2018-01-19 20:00:00,1073868.757809988
2018-01-19 21:00:00,1051497.285965041
2018-01-19 22:00:00,1024583.6896380294
2018-01-19 23:00:00,989891.4238944064
2018-01-20 00:00:00,956132.9848191878
2018-01-20 01:00:00,936214.5858454468
2018-01-20 02:00:00,932044.2837648902
2018-01-20 03:00:00,926817.1663420825
2018-01-20 04:00:00,920874.1910597977
2018-01-20 05:00:00,942358.5904752412
2018-01-20 06:00:00,949398.8909845798
2018-01-20 07:00:00,978881.5975798662
2018-01-20 08:00:00,1028547.4842538285
2018-01-20 09:00:00,1087389.606112947
2018-01-20 10:00:00,1125214.0593804568
2018-01-20 11:00:00,1138150.1124544106
2018-01-20 12:00:00,1129461.2754696936
2018-01-20 13:00:00,1120659.3479259794
2018-01-20 14:00:00,1139784.0138751625
2018-01-20 15:00:00,1146852.900092191
2018-01-20 16:00:00,1133991.0419672318
2018-01-20 17:00:00,1111876.6584779487
2018-01-20 18:00:00,1095879.6806520452
2018-01-20 19:00:00,1074503.4866290733
2018-01-20 20:00:00,1042422.8210482283
2018-01-20 21:00:00,1020978.3543651279
2018-01-20 22:00:00,994977.812707804
2018-01-20 23:00:00,973051.523703907
2018-01-21 00:00:00,978069.9302847339
2018-01-21 01:00:00,959360.5908731886
2018-01-21 02:00:00,949302.2863821666
2018-01-21 03:00:00,937737.1520425158
2018-01-21 04:00:00,935333.5288119587
2018-01-21 05:00:00,934711.4283577217
2018-01-21 06:00:00,937648.7335532081
2018-01-21 07:00:00,932176.1349653421
2018-01-21 08:00:00,954080.2770213474
2018-01-21 09:00:00,981001.4918785077
2018-01-21 10:00:00,1003048.2155923776
2018-01-21 11:00:00,1015246.1360575423
2018-01-21 12:00:00,1019319.9956771013
2018-01-21 13:00:00,1011647.7296989118
2018-01-21 14:00:00,1010575.9393341133
2018-01-21 15:00:00,1010341.6687341795
2018-01-21 16:00:00,1014178.7906332755
2018-01-21 17:00:00,1006837.4421714884
2018-01-21 18:00:00,1029184.8442292998
2018-01-21 19:00:00,1029456.5838791067
2018-01-21 20:00:00,1030481.0862687744
2018-01-21 21:00:00,1017051.1632410507
2018-01-21 22:00:00,1003096.5693268459
2018-01-21 23:00:00,991117.0907682464
2018-01-22 00:00:00,979981.004030596
2018-01-22 01:00:00,954643.2641457592
2018-01-22 02:00:00,948731.8207991658
2018-01-22 03:00:00,937348.6714233613
2018-01-22 04:00:00,939977.1688625967
2018-01-22 05:00:00,944828.4634600577
2018-01-22 06:00:00,988343.091094115
2018-01-22 07:00:00,1050557.4060875657
2018-01-22 08:00:00,1153996.16122855
2018-01-22 09:00:00,1237376.8738438177
2018-01-22 10:00:00,1297437.833311512
2018-01-22 11:00:00,1322444.6657815587
2018-01-22 12:00:00,1307391.805086286
2018-01-22 13:00:00,1298013.3524427386
2018-01-22 14:00:00,1306945.9747704575
2018-01-22 15:00:00,1293438.941688195
2018-01-22 16:00:00,1287161.9952975002
2018-01-22 17:00:00,1271447.122139515
2018-01-22 18:00:00,1249902.9257123028
2018-01-22 19:00:00,1204483.786367575
2018-01-22 20:00:00,1159874.4324023593
2018-01-22 21:00:00,1120291.7680188955
2018-01-22 22:00:00,1069931.097545439
2018-01-22 23:00:00,1034253.5408631975
2018-01-23 00:00:00,1009746.157454541
2018-01-23 01:00:00,991016.9623938794
2018-01-23 02:00:00,975804.0167308925
2018-01-23 03:00:00,969673.3486550233
2018-01-23 04:00:00,966677.0454250965
2018-01-23 05:00:00,983835.5655953548
2018-01-23 06:00:00,1013851.8038235744
2018-01-23 07:00:00,1082806.2103865352
2018-01-23 08:00:00,1176239.9201170048
2018-01-23 09:00:00,1272524.4788859433
2018-01-23 10:00:00,1328586.9798871144
2018-01-23 11:00:00,1344600.884090254
2018-01-23 12:00:00,1342034.7668347305
2018-01-23 13:00:00,1326024.3097483206
2018-01-23 14:00:00,1336293.8380478956
2018-01-23 15:00:00,1345225.8799793785
2018-01-23 16:00:00,1332703.1356121826
2018-01-23 17:00:00,1305241.5122377097
2018-01-23 18:00:00,1258596.765579821
2018-01-23 19:00:00,1212623.1916178234
2018-01-23 20:00:00,1157038.7275729524
2018-01-23 21:00:00,1111330.008064738
2018-01-23 22:00:00,1069947.495024114
2018-01-23 23:00:00,1044396.8266386478
2018-01-24 00:00:00,1027278.1647748075
2018-01-24 01:00:00,1011580.0916376753
2018-01-24 02:00:00,995424.631861666
2018-01-24 03:00:00,977671.5225476022
2018-01-24 04:00:00,976682.5959522057
2018-01-24 05:00:00,998337.9846326706
2018-01-24 06:00:00,1029511.7331700582
2018-01-24 07:00:00,1082701.5874888594
2018-01-24 08:00:00,1180505.446493385
2018-01-24 09:00:00,1266577.2948666958
2018-01-24 10:00:00,1307541.8862252566
2018-01-24 11:00:00,1315631.7587545367
2018-01-24 12:00:00,1316243.855152203
2018-01-24 13:00:00,1314950.2255878153
2018-01-24 14:00:00,1320857.889696501
2018-01-24 15:00:00,1313502.825561787
2018-01-24 16:00:00,1310411.4742602827
2018-01-24 17:00:00,1287152.0130597583
2018-01-24 18:00:00,1265145.446604184
2018-01-24 19:00:00,1220264.2785765585
2018-01-24 20:00:00,1172327.905610671
2018-01-24 21:00:00,1135274.2617930775
2018-01-24 22:00:00,1078283.914076395
2018-01-24 23:00:00,1038860.8913362547
2018-01-25 00:00:00,1001581.3471087116
2018-01-25 01:00:00,985254.098392638
2018-01-25 02:00:00,967049.9645858095
2018-01-25 03:00:00,958405.7114838186
2018-01-25 04:00:00,957947.8618414785
2018-01-25 05:00:00,968908.2306580286
2018-01-25 06:00:00,998309.8517931268
2018-01-25 07:00:00,1056473.2848967586
2018-01-25 08:00:00,1150679.4746755394
2018-01-25 09:00:00,1231268.3167471357
2018-01-25 10:00:00,1273718.6097017825
2018-01-25 11:00:00,1301888.4974052673
2018-01-25 12:00:00,1303922.580332843
2018-01-25 13:00:00,1279392.2553873484
2018-01-25 14:00:00,1280139.3987415666
2018-01-25 15:00:00,1266205.5391438196
2018-01-25 16:00:00,1265328.6205739633
2018-01-25 17:00:00,1253210.9122055154
2018-01-25 18:00:00,1229077.284212065
2018-01-25 19:00:00,1183549.1761917847
2018-01-25 20:00:00,1141605.9468702918
2018-01-25 21:00:00,1111942.802452768
2018-01-25 22:00:00,1071901.2941132195
2018-01-25 23:00:00,1040284.5913007112
2018-01-26 00:00:00,1011417.44315195
2018-01-26 01:00:00,992119.2047557525
2018-01-26 02:00:00,972605.5985985304
2018-01-26 03:00:00,962436.0582348532
2018-01-26 04:00:00,959463.2416971971
2018-01-26 05:00:00,967064.0945916888
2018-01-26 06:00:00,989822.1119138726
2018-01-26 07:00:00,1037166.3997206189
2018-01-26 08:00:00,1116847.7068309917
2018-01-26 09:00:00,1190997.6655724095
2018-01-26 10:00:00,1226644.5188944098
2018-01-26 11:00:00,1235871.6686779899
2018-01-26 12:00:00,1241707.3416034752
2018-01-26 13:00:00,1235020.1479024594
2018-01-26 14:00:00,1252989.0351900954
2018-01-26 15:00:00,1257516.95758067
2018-01-26 16:00:00,1258031.5756466577
2018-01-26 17:00:00,1247155.2995979008
2018-01-26 18:00:00,1233293.6592123471
2018-01-26 19:00:00,1197156.9434006624
2018-01-26 20:00:00,1157840.0266677872
2018-01-26 21:00:00,1112148.8204910564
2018-01-26 22:00:00,1068131.8150864441
2018-01-26 23:00:00,1028081.8304938945
2018-01-27 00:00:00,1012558.4469238848
2018-01-27 01:00:00,1000964.6263258224
2018-01-27 02:00:00,984228.020541369
2018-01-27 03:00:00,973675.4220784556
2018-01-27 04:00:00,976082.603802448
2018-01-27 05:00:00,991991.5309264817
2018-01-27 06:00:00,1003494.4973688081
2018-01-27 07:00:00,1034805.8510802748
2018-01-27 08:00:00,1086662.868814013
2018-01-27 09:00:00,1152220.690361901
2018-01-27 10:00:00,1199484.7871542086
2018-01-27 11:00:00,1218784.4107573284
2018-01-27 12:00:00,1209180.5349928157
2018-01-27 13:00:00,1194028.7479005174
2018-01-27 14:00:00,1190730.4158311812
2018-01-27 15:00:00,1189882.6673928227
2018-01-27 16:00:00,1182098.1590660687
2018-01-27 17:00:00,1170212.8426241432
2018-01-27 18:00:00,1166410.3504321682
2018-01-27 19:00:00,1146452.9629064
2018-01-27 20:00:00,1118093.6578101385
2018-01-27 21:00:00,1096963.3091330477
2018-01-27 22:00:00,1067921.9498034222
2018-01-27 23:00:00,1038330.7454723484
2018-01-28 00:00:00,1014391.7928624181
2018-01-28 01:00:00,996622.1061547677
2018-01-28 02:00:00,982795.4580744744
2018-01-28 03:00:00,965214.1528662862
2018-01-28 04:00:00,965060.3555847242
2018-01-28 05:00:00,967765.7112332182
2018-01-28 06:00:00,981745.6267309042
2018-01-28 07:00:00,984539.9315878112
2018-01-28 08:00:00,991031.9967143766
2018-01-28 09:00:00,1016170.8771418869
2018-01-28 10:00:00,1051117.8184314852
2018-01-28 11:00:00,1067926.4046378687
2018-01-28 12:00:00,1076092.50768484
2018-01-28 13:00:00,1067840.792150557
2018-01-28 14:00:00,1066378.4734022624
2018-01-28 15:00:00,1060921.0737756963
2018-01-28 16:00:00,1059538.3370033477
2018-01-28 17:00:00,1059422.9548569182
2018-01-28 18:00:00,1077869.043792142
2018-01-28 19:00:00,1069963.838966446
2018-01-28 20:00:00,1067603.5996268387
2018-01-28 21:00:00,1056518.129920844
2018-01-28 22:00:00,1042266.2144186604
2018-01-28 23:00:00,1013706.8495521474
2018-01-29 00:00:00,986556.9387106785
2018-01-29 01:00:00,968762.220420111
2018-01-29 02:00:00,959843.7257283541
2018-01-29 03:00:00,950100.2484199904
2018-01-29 04:00:00,949554.0307506088
2018-01-29 05:00:00,958730.4143429867
2018-01-29 06:00:00,1003389.8481053859
2018-01-29 07:00:00,1041636.9518471977
2018-01-29 08:00:00,1152133.5782542299
2018-01-29 09:00:00,1253512.22253749
2018-01-29 10:00:00,1304256.3054899906
2018-01-29 11:00:00,1315207.0036972947
2018-01-29 12:00:00,1321671.086090904
2018-01-29 13:00:00,1308689.7259853696
2018-01-29 14:00:00,1327712.5616541537
2018-01-29 15:00:00,1334173.673658898
2018-01-29 16:00:00,1323530.4213545062
2018-01-29 17:00:00,1297381.0670662983
2018-01-29 18:00:00,1277590.8169352429
2018-01-29 19:00:00,1218274.16435927
2018-01-29 20:00:00,1166960.4004255852
2018-01-29 21:00:00,1131396.6947774014
2018-01-29 22:00:00,1091674.5628618803
2018-01-29 23:00:00,1050319.4794515716
2018-01-30 00:00:00,1019235.6263665215
2018-01-30 01:00:00,999203.5441079059
2018-01-30 02:00:00,984925.3068279927
2018-01-30 03:00:00,982210.3146563178
2018-01-30 04:00:00,971461.5749136508
2018-01-30 05:00:00,988485.0696083745
2018-01-30 06:00:00,1021189.9413168156
2018-01-30 07:00:00,1089327.4040957342
2018-01-30 08:00:00,1188162.5975117586
2018-01-30 09:00:00,1288860.1174112153
2018-01-30 10:00:00,1341371.0921081235
2018-01-30 11:00:00,1363963.8601408422
2018-01-30 12:00:00,1356839.8394697914
2018-01-30 13:00:00,1344364.5728713756
2018-01-30 14:00:00,1359527.7546028246
2018-01-30 15:00:00,1365644.0113626213
2018-01-30 16:00:00,1350943.5635527165
2018-01-30 17:00:00,1327259.159282321
2018-01-30 18:00:00,1304283.9025430419
2018-01-30 19:00:00,1249479.975760118
2018-01-30 20:00:00,1195154.5594700777
2018-01-30 21:00:00,1152404.2056024333
