Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-01-04 22:00:00,1091154.797737528,1071246.1367525526,1062123.8778492694,1047573.1296410055,1008159.0763629385,1040821.6006842527,1080956.1488969831,1069279.655114792
2019-01-04 23:00:00,1061426.1656841284,1039598.5047730186,1030352.5740717759,1016592.4383344934,976037.0596398537,1012559.1327422494,1049371.3838943252,1039667.1847963132
2019-01-05 00:00:00,1005770.7713414878,1031162.7869738988,1004003.7672169865,997582.5915773935,950839.707784415,931442.4094256744,980849.460645011,965124.910432874
2019-01-05 01:00:00,987503.806700673,1011068.037829777,982543.4063614784,974171.4928510457,926672.976341327,911659.9838744914,961074.7678567151,944653.1549127002
2019-01-05 02:00:00,967471.7865745149,996894.3724485931,967427.1709205998,956382.109528569,908472.9128000946,887552.5654587124,942191.6973918747,930053.6697876465
2019-01-05 03:00:00,957133.0420449764,985826.3340188797,955534.1900138156,941346.6312196276,892699.9606693119,872395.0484427712,933305.5923287297,917326.1530840001
2019-01-05 04:00:00,951254.3781834655,977973.427546791,946686.7877867051,929222.9916582069,879397.8597777879,857665.3760484376,926566.71460328,907494.8754229883
2019-01-05 05:00:00,959173.6201707579,979582.4932533337,947847.3006022391,927973.1018720735,877508.8644219369,860971.7333388989,932793.7881295908,910604.1927730504
2019-01-05 06:00:00,988341.5000328441,1000047.7143947146,970012.4394108534,950083.126465128,900906.0804271906,885700.0162242625,958949.968642913,935707.938397504
2019-01-05 07:00:00,1038987.1961197075,1043756.2853761899,1018656.5109103092,1001932.9094586428,956365.148260019,938578.1885303775,1011568.427692527,989023.4093570192
2019-01-05 08:00:00,1105742.596107121,1103502.4616387677,1085738.4191943686,1074777.4132550354,1033780.0351101005,1021039.997511739,1083255.2188971452,1064658.9028190896
2019-01-05 09:00:00,1164804.7391032358,1162058.6933186532,1151385.7757023422,1146580.2467080746,1108727.6277090928,1102548.5123267723,1150988.1996034656,1139639.8897617538
2019-01-05 10:00:00,1204752.6578599971,1201929.3686793447,1195455.149396874,1194998.3334856643,1157165.3787120346,1159696.7373005524,1196651.549623196,1189058.5548563737
2019-01-05 11:00:00,1218854.970312207,1216035.8355352443,1210214.0786050896,1211596.6077199997,1170865.8949172369,1183274.8769913788,1212453.4371822542,1206722.0090747373
2019-01-05 12:00:00,1215276.550421326,1210861.3171622525,1203848.0872993474,1205609.3624674873,1160839.5978198503,1183804.7780762357,1207981.8756819544,1205843.1888315473
2019-01-05 13:00:00,1206887.4504018812,1199777.7658458222,1192127.5435391762,1194326.485693009,1146171.2963513911,1176082.8058340668,1199638.6047929334,1199163.195642593
2019-01-05 14:00:00,1201694.2373140277,1192398.9031000438,1185565.6512175642,1188621.9053498975,1138211.5931667888,1172388.9821263927,1196031.6502779264,1196252.2519656033
2019-01-05 15:00:00,1192191.3379191142,1188618.931367927,1182727.358762258,1185829.0917964599,1133476.6921737615,1162633.3055223338,1191499.0228983897,1195275.0452732278
2019-01-05 16:00:00,1183311.844776813,1181261.239543706,1174250.5050233025,1174961.2576536748,1120071.9925627385,1147830.1218613058,1183802.5336419079,1185859.9837733465
2019-01-05 17:00:00,1165102.241609955,1163659.1496320092,1152584.989487878,1148173.582974024,1090268.593801396,1118671.6486740801,1163318.3618826137,1161001.9415750434
2019-01-05 18:00:00,1141276.1357378752,1134996.6535822446,1118269.746373213,1107665.6821888338,1047348.664949576,1080622.991560612,1131840.7262937308,1122495.1378228636
2019-01-05 19:00:00,1109776.6576253409,1099516.2651928493,1078043.913201287,1062705.4335396579,1001537.7651685512,1040309.1966257114,1094388.8996379543,1080506.3748247074
2019-01-05 20:00:00,1071303.3899146174,1061921.1458777483,1038211.5245688362,1021143.5905467799,960547.1897010166,995247.402352299,1055798.6596710563,1038150.6664333758
2019-01-05 21:00:00,1036221.6241299042,1024267.0155050494,1000435.8930816173,984196.5774802832,924480.9007776495,962365.7072033634,1019267.7603539085,1004726.6007449927
2019-01-05 22:00:00,1000560.2911210773,986954.8389108602,963442.5995401359,948745.8739620508,889188.6333704616,928716.0663717961,982420.2651499207,970520.1171710863
2019-01-05 23:00:00,962453.5449126635,951533.1339549636,927463.9313214396,913293.0897730946,853109.3749976614,885297.8503756445,944075.1451322215,930708.0010926729
2019-01-06 00:00:00,933930.3261471177,924262.1528081631,900224.0786116229,885829.6579822035,825050.5082550782,845951.7962451314,909610.3552614811,896077.221596685
2019-01-06 01:00:00,910595.2479007255,901775.2541472185,875970.7559418848,859418.50305387,798485.1207741194,821112.9482398718,885631.5152267503,868637.882734104
2019-01-06 02:00:00,897453.3887174056,886206.9813347161,858848.7327886053,839473.8202436685,778743.3294744511,803605.9463764366,870044.7496258394,846291.5466821082
2019-01-06 03:00:00,887294.8863836088,874578.8451370441,845739.3088205565,823117.0974198453,762315.0035888415,791236.7872157658,855575.0689862559,831466.5459335293
2019-01-06 04:00:00,877346.338893948,866711.6557231992,836390.6951651608,810505.732291336,749259.1544539572,775247.485813783,844654.9891525402,819130.5279493756
2019-01-06 05:00:00,878278.5018414896,868750.2346182575,837704.2077673781,809649.7645828915,748521.1121387675,768912.4540838045,844425.2335301158,816320.8319049259
2019-01-06 06:00:00,898579.0067819266,890348.4764583359,860711.167054307,833117.8097659941,773976.0460810923,791241.2082282555,866789.895324483,837930.1820236867
2019-01-06 07:00:00,936209.7207355,936360.696294253,911015.3351215054,887351.3233875168,832414.3502387318,838476.024242639,910857.4702083361,889400.842157099
2019-01-06 08:00:00,994381.0108393864,999886.8011795125,980713.920897863,963601.4707935803,913759.2211148904,914949.0159280567,976425.3978343324,963348.393649087
2019-01-06 09:00:00,1060768.7146835646,1063586.067239433,1049986.0672967199,1039770.1412159444,993614.0280546963,1004366.6612070068,1049201.7939324693,1038298.0591353694
2019-01-06 10:00:00,1104499.8639210388,1109517.893432097,1098630.220641445,1093445.9569807015,1047934.1670858217,1060521.7467858954,1096287.181741465,1088557.1052495614
2019-01-06 11:00:00,1125253.4589224616,1130177.2365142445,1118808.935354688,1116164.8830972787,1068448.5198927086,1088580.6917617072,1114852.3190209658,1109437.6587493091
