iter	Passed	Remaining
929	1385	104
930	1386	102
931	1388	101
932	1390	99
933	1391	98
934	1392	96
935	1394	95
936	1396	93
937	1397	92
938	1398	90
939	1400	89
940	1402	87
941	1403	86
942	1404	84
943	1406	83
944	1407	81
945	1409	80
946	1410	78
947	1411	77
948	1413	75
949	1414	74
950	1416	72
951	1417	71
952	1419	69
953	1420	68
954	1422	67
955	1423	65
956	1425	64
957	1426	62
958	1428	61
959	1430	59
960	1431	58
961	1433	56
962	1434	55
963	1436	53
964	1437	52
965	1438	50
966	1440	49
967	1441	47
968	1443	46
969	1444	44
970	1446	43
971	1447	41
972	1449	40
973	1450	38
974	1451	37
975	1453	35
976	1455	34
977	1457	32
978	1458	31
979	1459	29
980	1461	28
981	1462	26
982	1464	25
983	1465	23
984	1467	22
985	1468	20
986	1470	19
987	1471	17
988	1473	16
989	1474	14
990	1475	13
991	1477	11
992	1478	10
993	1480	8
994	1482	7
995	1483	5
996	1485	4
997	1486	2
998	1487	1
999	1489	0
